Category: All categories

Week,wildfire: (United States)
2017-03-26,4
2017-04-02,5
2017-04-09,5
2017-04-16,5
2017-04-23,6
2017-04-30,5
2017-05-07,7
2017-05-14,5
2017-05-21,4
2017-05-28,4
2017-06-04,4
2017-06-11,5
2017-06-18,6
2017-06-25,11
2017-07-02,9
2017-07-09,9
2017-07-16,9
2017-07-23,7
2017-07-30,12
2017-08-06,8
2017-08-13,7
2017-08-20,6
2017-08-27,10
2017-09-03,27
2017-09-10,8
2017-09-17,5
2017-09-24,5
2017-10-01,4
2017-10-08,45
2017-10-15,17
2017-10-22,8
2017-10-29,5
2017-11-05,4
2017-11-12,4
2017-11-19,4
2017-11-26,4
2017-12-03,45
2017-12-10,16
2017-12-17,8
2017-12-24,6
2017-12-31,5
2018-01-07,5
2018-01-14,5
2018-01-21,5
2018-01-28,5
2018-02-04,5
2018-02-11,5
2018-02-18,4
2018-02-25,4
2018-03-04,4
2018-03-11,5
2018-03-18,5
2018-03-25,5
2018-04-01,5
2018-04-08,5
2018-04-15,6
2018-04-22,5
2018-04-29,6
2018-05-06,5
2018-05-13,4
2018-05-20,5
2018-05-27,6
2018-06-03,8
2018-06-10,10
2018-06-17,5
2018-06-24,8
2018-07-01,15
2018-07-08,9
2018-07-15,10
2018-07-22,17
2018-07-29,20
2018-08-05,23
2018-08-12,17
2018-08-19,16
2018-08-26,7
2018-09-02,7
2018-09-09,7
2018-09-16,6
2018-09-23,5
2018-09-30,4
2018-10-07,5
2018-10-14,5
2018-10-21,4
2018-10-28,4
2018-11-04,23
2018-11-11,48
2018-11-18,17
2018-11-25,12
2018-12-02,7
2018-12-09,6
2018-12-16,5
2018-12-23,5
2018-12-30,5
2019-01-06,5
2019-01-13,5
2019-01-20,4
2019-01-27,5
2019-02-03,5
2019-02-10,5
2019-02-17,5
2019-02-24,5
2019-03-03,4
2019-03-10,4
2019-03-17,5
2019-03-24,4
2019-03-31,6
2019-04-07,5
2019-04-14,5
2019-04-21,5
2019-04-28,6
2019-05-05,6
2019-05-12,6
2019-05-19,7
2019-05-26,7
2019-06-02,7
2019-06-09,8
2019-06-16,6
2019-06-23,6
2019-06-30,7
2019-07-07,8
2019-07-14,6
2019-07-21,8
2019-07-28,7
2019-08-04,6
2019-08-11,5
2019-08-18,11
2019-08-25,7
2019-09-01,6
2019-09-08,5
2019-09-15,5
2019-09-22,5
2019-09-29,5
2019-10-06,15
2019-10-13,7
2019-10-20,12
2019-10-27,22
2019-11-03,8
2019-11-10,6
2019-11-17,5
2019-11-24,5
2019-12-01,5
2019-12-08,5
2019-12-15,5
2019-12-22,4
2019-12-29,6
2020-01-05,12
2020-01-12,7
2020-01-19,6
2020-01-26,5
2020-02-02,5
2020-02-09,5
2020-02-16,5
2020-02-23,5
2020-03-01,5
2020-03-08,5
2020-03-15,3
2020-03-22,3
2020-03-29,4
2020-04-05,4
2020-04-12,5
2020-04-19,4
2020-04-26,4
2020-05-03,8
2020-05-10,6
2020-05-17,5
2020-05-24,4
2020-05-31,6
2020-06-07,7
2020-06-14,9
2020-06-21,6
2020-06-28,7
2020-07-05,6
2020-07-12,6
2020-07-19,5
2020-07-26,6
2020-08-02,7
2020-08-09,11
2020-08-16,43
2020-08-23,22
2020-08-30,9
2020-09-06,100
2020-09-13,55
2020-09-20,15
2020-09-27,14
2020-10-04,9
2020-10-11,9
2020-10-18,13
2020-10-25,11
2020-11-01,4
2020-11-08,4
2020-11-15,5
2020-11-22,3
2020-11-29,6
2020-12-06,4
2020-12-13,4
2020-12-20,4
2020-12-27,4
2021-01-03,4
2021-01-10,4
2021-01-17,4
2021-01-24,4
2021-01-31,4
2021-02-07,4
2021-02-14,4
2021-02-21,4
2021-02-28,4
2021-03-07,5
2021-03-14,5
2021-03-21,4
2021-03-28,5
2021-04-04,5
2021-04-11,5
2021-04-18,5
2021-04-25,6
2021-05-02,5
2021-05-09,5
2021-05-16,7
2021-05-23,7
2021-05-30,7
2021-06-06,7
2021-06-13,10
2021-06-20,11
2021-06-27,10
2021-07-04,10
2021-07-11,18
2021-07-18,24
2021-07-25,18
2021-08-01,19
2021-08-08,17
2021-08-15,16
2021-08-22,12
2021-08-29,12
2021-09-05,8
2021-09-12,7
2021-09-19,7
2021-09-26,6
2021-10-03,5
2021-10-10,6
2021-10-17,4
2021-10-24,5
2021-10-31,4
2021-11-07,5
2021-11-14,5
2021-11-21,4
2021-11-28,5
2021-12-05,5
2021-12-12,5
2021-12-19,4
2021-12-26,12
2022-01-02,6
2022-01-09,4
2022-01-16,5
2022-01-23,5
2022-01-30,4
2022-02-06,5
2022-02-13,5
2022-02-20,4
2022-02-27,6
2022-03-06,6
2022-03-13,7
2022-03-20,9
